2025-01-13 08:01:29,679 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 08:01:29,679 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/augment_1, elapsed: 0.000279s
2025-01-13 08:01:29,679 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 08:01:29,679 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end
2025-01-13 08:01:29,679 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.forward, time enabled: True, precision enabled: True
2025-01-13 08:01:29,680 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.forward_1
2025-01-13 08:01:29,680 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,680 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.forward
2025-01-13 08:01:29,686 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.forward_1
2025-01-13 08:01:29,686 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,686 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.forward
2025-01-13 08:01:29,716 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 08:01:29,717 | perf_monitor.time | DEBUG | Ended timing collection for inference/model1.forward_1, elapsed: 0.036810s
2025-01-13 08:01:29,717 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,717 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.forward_1
2025-01-13 08:01:29,717 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,717 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.decode, time enabled: True, precision enabled: True
2025-01-13 08:01:29,717 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.decode_1
2025-01-13 08:01:29,717 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 08:01:29,717 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.decode
2025-01-13 08:01:29,723 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.decode_1
2025-01-13 08:01:29,723 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 08:01:29,723 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.decode
2025-01-13 08:01:29,723 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/decode, time enabled: True, precision enabled: False
2025-01-13 08:01:29,724 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/decode_1
2025-01-13 08:01:29,724 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 08:01:29,724 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: decode
2025-01-13 08:01:29,729 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 08:01:29,729 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/decode_1, elapsed: 0.005954s
2025-01-13 08:01:29,729 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 08:01:29,730 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.decode_1
2025-01-13 08:01:29,730 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 08:01:29,730 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
