2025-01-13 10:08:59,845 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:08:59,845 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:08:59,845 | perf_monitor.manager | DEBUG | Registered config for inference/model2.forward
2025-01-13 10:08:59,846 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model2.forward, time enabled: True, precision enabled: True
2025-01-13 10:08:59,846 | perf_monitor.time | DEBUG | Started timing collection for inference/model2.forward_1
2025-01-13 10:08:59,846 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:08:59,846 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model2.forward
2025-01-13 10:08:59,852 | perf_monitor.precision | DEBUG | Started precision collection for inference/model2.forward_1
2025-01-13 10:08:59,852 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:08:59,852 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model2.forward
2025-01-13 10:08:59,941 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,941 | perf_monitor.time | DEBUG | Ended timing collection for inference/model2.forward_1, elapsed: 0.095631s
2025-01-13 10:08:59,941 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:08:59,942 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model2.forward_1
2025-01-13 10:08:59,942 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:08:59,942 | perf_monitor.manager | DEBUG | Registered config for inference/model2.decode
2025-01-13 10:08:59,942 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model2.decode, time enabled: True, precision enabled: True
2025-01-13 10:08:59,942 | perf_monitor.time | DEBUG | Started timing collection for inference/model2.decode_1
2025-01-13 10:08:59,942 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:08:59,942 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model2.decode
2025-01-13 10:08:59,950 | perf_monitor.precision | DEBUG | Started precision collection for inference/model2.decode_1
2025-01-13 10:08:59,950 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:08:59,950 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model2.decode
